"Story","Title","Result","Date","Stability","Duration (s)"
"Gorest CURD test with steps","This will create a new user","SUCCESS","2022-06-07T22:11:32.833+01:00[Europe/London]","0.0","7.16"
"Gorest CURD test with steps","Verify if the user was added to the application","SUCCESS","2022-06-07T22:11:40.009+01:00[Europe/London]","0.0","0.8"
"Gorest CURD test with steps","Update the user information and verify the updated information","SUCCESS","2022-06-07T22:11:40.812+01:00[Europe/London]","0.0","1.55"
"Gorest CURD test with steps","Delete the user and verify if the user is deleted!","SUCCESS","2022-06-07T22:11:42.357+01:00[Europe/London]","0.0","1.52"
